method,label,trace_count_used,success_trace_count_total,mean_peak_force,std_peak_force,mean_contact_work,std_contact_work,mean_final_position
Learned variable,Learned variable,75,75,1.1880969746706305,0.21785864064974084,0.0032201424500931204,0.0005050004419865173,0.005083082733675837
Learned fixed,Learned fixed,75,90,1.4372003302848095,0.25338722204774805,0.0034047952611566982,0.0005286249808391793,0.005093696492960056
Handcrafted variable,Handcrafted variable,75,150,1.2516665730099594,0.13473353159698212,0.004388302109468082,0.0003539206209244523,0.00506044807871183
Handcrafted fixed,Handcrafted fixed,75,150,4.523868466858204,0.4998322197962484,0.018837688443974036,0.0020270057310004127,0.005030966475605968
