parameter_name,level_name,profile,policy_name,success_rate,jam_rate,documented_force_jam_rate,blocked_contact_termination_rate,mean_final_distance,mean_peak_contact_force,p95_peak_contact_force,mean_contact_steps,mean_contact_work
contact_xy_scale,low,nominal,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,2.6532204315764396,3.6420015833035495,11.0,0.010917988441015271
contact_xy_scale,low,nominal,variable_impedance,1.0,0.0,0.0,0.0,0.0009433850929147387,0.7745358419863653,1.020498448191369,27.349999999999998,0.0027555088608196402
contact_xy_scale,low,tight_clearance,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,2.6532204315764396,3.6420015833035495,11.0,0.010917988441015271
contact_xy_scale,low,tight_clearance,variable_impedance,1.0,0.0,0.0,0.0,0.0009433850929147387,0.7745358419863653,1.020498448191369,27.349999999999998,0.0027555088608196402
contact_xy_scale,low,high_friction,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,4.410033061680831,5.300233105432459,11.0,0.018296049174432224
contact_xy_scale,low,high_friction,variable_impedance,1.0,0.0,0.0,0.0,0.0009439545445146299,1.2159692081031162,1.44361474328835,30.233333333333334,0.004354712636992766
contact_xy_scale,low,offset_bias,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,2.6532204315764396,3.6420015833035495,11.0,0.010917988441015271
contact_xy_scale,low,offset_bias,variable_impedance,1.0,0.0,0.0,0.0,0.0009433850929147387,0.7745358419863653,1.020498448191369,27.349999999999998,0.0027555088608196402
contact_xy_scale,low,noisy_force,fixed_impedance,1.0,0.0,0.0,0.0,0.0009690347321834007,2.784994494426659,3.648150341182667,11.0,0.011143093508965576
contact_xy_scale,low,noisy_force,variable_impedance,0.9333333333333332,0.0,0.0,0.0,0.0009687261678278459,0.9503923418097641,1.146851119776762,41.06666666666667,0.0020084302238014976
