condition_id,suite_name,teacher_preset_name,teacher_motion_rule,teacher_impedance_rule,teacher_support_quality,demo_budget_label,bc_rollout_episodes,bc_pretrain_steps,bc_batch_size,total_timesteps,policy_init,source_contract
support_rich_many_demo,teacher_variable_variable__sprint3_r32_p32,teacher_variable_variable,contact_aware_variable_motion,contact_aware_variable_impedance,support_rich,many_demo,32,32,64,128,bc_to_ppo_from_scratch,five-profile 3DoF teacher-coupled benchmark
support_rich_few_demo,teacher_variable_variable__sprint3_r8_p32,teacher_variable_variable,contact_aware_variable_motion,contact_aware_variable_impedance,support_rich,few_demo,8,32,64,128,bc_to_ppo_from_scratch,five-profile 3DoF teacher-coupled benchmark
support_poor_many_demo,teacher_pose_fixed__sprint3_r32_p32,teacher_pose_fixed,pose_feedback,fixed,support_poor,many_demo,32,32,64,128,bc_to_ppo_from_scratch,five-profile 3DoF teacher-coupled benchmark
support_poor_few_demo,teacher_pose_fixed__sprint3_r8_p32,teacher_pose_fixed,pose_feedback,fixed,support_poor,few_demo,8,32,64,128,bc_to_ppo_from_scratch,five-profile 3DoF teacher-coupled benchmark
